signal,absolute_time_ps,time_from_start_ns,value
mem_req_ready,34875000,2495.000,0
mem_req_ready,34945000,2565.000,1
mem_req_ready,34955000,2575.000,0
mem_req_ready,35025000,2645.000,1
mem_req_ready,35035000,2655.000,0
mem_req_ready,35105000,2725.000,1
mem_req_ready,35115000,2735.000,0
mem_req_ready,35185000,2805.000,1
mem_req_ready,35195000,2815.000,0
mem_req_ready,35265000,2885.000,1
mem_req_ready,35275000,2895.000,0
mem_req_ready,35345000,2965.000,1
mem_req_ready,35355000,2975.000,0
mem_req_ready,35425000,3045.000,1
mem_req_ready,35435000,3055.000,0
mem_req_ready,35505000,3125.000,1
mem_req_ready,35515000,3135.000,0
mem_req_ready,35585000,3205.000,1
mem_req_ready,35595000,3215.000,0
mem_req_ready,35665000,3285.000,1
mem_req_ready,35675000,3295.000,0
mem_req_ready,35745000,3365.000,1
mem_req_ready,35755000,3375.000,0
mem_req_ready,35825000,3445.000,1
mem_req_ready,35835000,3455.000,0
mem_req_ready,35905000,3525.000,1
mem_req_ready,35915000,3535.000,0
mem_req_ready,35985000,3605.000,1
mem_req_ready,35995000,3615.000,0
mem_req_ready,36065000,3685.000,1
mem_req_ready,36075000,3695.000,0
mem_req_ready,36145000,3765.000,1
mem_req_ready,36155000,3775.000,0
mem_req_ready,36225000,3845.000,1
mem_req_ready,36235000,3855.000,0
mem_req_ready,36305000,3925.000,1
mem_req_ready,36315000,3935.000,0
mem_req_ready,36385000,4005.000,1
mem_req_ready,36395000,4015.000,0
mem_req_ready,37305000,4925.000,1
mem_req_ready,37315000,4935.000,0
mem_req_ready,37405000,5025.000,1
mem_req_ready,37415000,5035.000,0
mem_req_ready,37505000,5125.000,1
mem_req_ready,37515000,5135.000,0
mem_req_ready,37605000,5225.000,1
mem_req_ready,37615000,5235.000,0
mem_req_ready,37705000,5325.000,1
mem_req_ready,37715000,5335.000,0
mem_req_ready,37805000,5425.000,1
mem_req_ready,37815000,5435.000,0
mem_req_ready,37905000,5525.000,1
mem_req_ready,37915000,5535.000,0
mem_req_ready,38005000,5625.000,1
mem_req_ready,38015000,5635.000,0
mem_req_ready,38105000,5725.000,1
mem_req_ready,38115000,5735.000,0
mem_req_ready,38205000,5825.000,1
mem_req_ready,38215000,5835.000,0
mem_req_ready,38305000,5925.000,1
mem_req_ready,38315000,5935.000,0
mem_req_ready,38405000,6025.000,1
mem_req_ready,38415000,6035.000,0
mem_req_ready,38505000,6125.000,1
mem_req_ready,38515000,6135.000,0
mem_req_ready,38605000,6225.000,1
mem_req_ready,38615000,6235.000,0
mem_req_ready,38705000,6325.000,1
mem_req_ready,38715000,6335.000,0
mem_req_ready,38805000,6425.000,1
mem_req_ready,38815000,6435.000,0
mem_req_ready,38905000,6525.000,1
mem_req_ready,38915000,6535.000,0
